RecordID,MeasurementUnitID,CowKey,Branch,BranchValue,TrainingBackground,SHAPValue
MEAS_R000031,MEAS_UNIT_000031,C002,HierarchicalResidualPredicted,39.2667020976325,38.93603031743349,0.19817765126816186
MEAS_R000031,MEAS_UNIT_000031,C002,SourceMemoryPredicted,39.1376135269194,38.93632230805884,-0.00025713393928693083
MEAS_R000032,MEAS_UNIT_000032,C002,BatchSessionPredicted,39.2426844698157,38.92000149398395,0.058725292282897794
MEAS_R000032,MEAS_UNIT_000032,C002,HierarchicalResidualPredicted,39.3198340797035,38.91956090984111,0.33065842610713275
MEAS_R000032,MEAS_UNIT_000032,C002,SourceMemoryPredicted,39.4464336310801,38.91548331691603,1.4765124438357147e-05
MEAS_R000033,MEAS_UNIT_000033,C002,BatchSessionPredicted,39.2373263346476,38.919374341900465,-0.017186038540870426
MEAS_R000033,MEAS_UNIT_000033,C002,HierarchicalResidualPredicted,39.1705058225281,38.91719913820587,0.28947696560444014
MEAS_R000033,MEAS_UNIT_000033,C002,SourceMemoryPredicted,39.3845473524535,38.91877341083054,-0.03048269051199856
MEAS_R000034,MEAS_UNIT_000034,C002,BatchSessionPredicted,39.320209597465,38.925525862622926,0.14071367732369458
MEAS_R000034,MEAS_UNIT_000034,C002,HierarchicalResidualPredicted,39.2938188518464,38.9247237865173,0.17003292467053002
MEAS_R000034,MEAS_UNIT_000034,C002,SourceMemoryPredicted,39.2995724197768,38.92144057833422,0.08044403348638499
MEAS_R000035,MEAS_UNIT_000035,C029,BatchSessionPredicted,38.359030251746,38.923435689968294,-0.21598405012676986
MEAS_R000035,MEAS_UNIT_000035,C029,HierarchicalResidualPredicted,38.4368321831223,38.91811283222445,-0.2624982197276193
MEAS_R000035,MEAS_UNIT_000035,C029,SourceMemoryPredicted,38.4859982615435,38.91842568784033,-0.04068713259027727
MEAS_R000036,MEAS_UNIT_000036,C029,BatchSessionPredicted,38.3844572064443,38.93646600346175,-0.2652375433205967
MEAS_R000036,MEAS_UNIT_000036,C029,HierarchicalResidualPredicted,38.3872938405775,38.93105451492091,-0.20914443523978132
MEAS_R000036,MEAS_UNIT_000036,C029,SourceMemoryPredicted,38.3440086844614,38.937439481702484,-0.09042364833816388
MEAS_R000037,MEAS_UNIT_000037,C029,BatchSessionPredicted,38.3035508683285,38.90768839001661,0.08145767811242743
MEAS_R000037,MEAS_UNIT_000037,C029,HierarchicalResidualPredicted,38.3362165313574,38.905248207471395,-0.685028944787471
MEAS_R000037,MEAS_UNIT_000037,C029,SourceMemoryPredicted,38.267025641126,38.90590609403566,0.02243795844153007
MEAS_R000038,MEAS_UNIT_000038,C029,BatchSessionPredicted,38.2318963392951,38.91088053589295,-0.1194631377855659
MEAS_R000038,MEAS_UNIT_000038,C029,HierarchicalResidualPredicted,38.3020233801409,38.90851605759101,-0.5232697593348585
MEAS_R000038,MEAS_UNIT_000038,C029,SourceMemoryPredicted,38.0783920221719,38.90793133003213,0.02765911663207771
MEAS_R000039,MEAS_UNIT_000039,C029,BatchSessionPredicted,38.2718716969694,38.93646600346175,-0.31933433327750993
MEAS_R000039,MEAS_UNIT_000039,C029,HierarchicalResidualPredicted,38.3247321826059,38.93105451492091,-0.23320726883828302
MEAS_R000039,MEAS_UNIT_000039,C029,SourceMemoryPredicted,38.3829958612628,38.937439481702484,-0.08448300154130522
MEAS_R000040,MEAS_UNIT_000040,C029,BatchSessionPredicted,38.2790460957297,38.9315971341168,-0.2716196069019963
MEAS_R000040,MEAS_UNIT_000040,C029,HierarchicalResidualPredicted,38.3076797125407,38.93603031743349,-0.37658202032129434
MEAS_R000040,MEAS_UNIT_000040,C029,SourceMemoryPredicted,38.2642862033469,38.93632230805884,0.0008584740652165796
MEAS_R000041,MEAS_UNIT_000041,C029,BatchSessionPredicted,38.3058625115767,38.923435689968294,-0.2363300338473066
MEAS_R000041,MEAS_UNIT_000041,C029,HierarchicalResidualPredicted,38.2907041904415,38.91811283222445,-0.3421987811415021
MEAS_R000041,MEAS_UNIT_000041,C029,SourceMemoryPredicted,38.1774360888134,38.91842568784033,-0.06971977314623433
MEAS_R000042,MEAS_UNIT_000042,C029,BatchSessionPredicted,38.298834669607,38.916625986095134,-0.2642976272031205
MEAS_R000042,MEAS_UNIT_000042,C029,HierarchicalResidualPredicted,38.285197961207,38.91892984065513,-0.4113414322666768
MEAS_R000042,MEAS_UNIT_000042,C029,SourceMemoryPredicted,38.2215423133165,38.92006475110401,0.03478646418851186
MEAS_R000043,MEAS_UNIT_000043,C029,BatchSessionPredicted,38.4529057640948,38.90580928065268,-0.1695289619476289
MEAS_R000043,MEAS_UNIT_000043,C029,HierarchicalResidualPredicted,38.421328876782,38.90089801334441,-0.29796899038345864
MEAS_R000043,MEAS_UNIT_000043,C029,SourceMemoryPredicted,39.1334298695638,38.904804190806296,0.005342286917129026
MEAS_R000044,MEAS_UNIT_000044,C029,BatchSessionPredicted,38.5115174245909,38.92000149398395,-0.07434029113616036
MEAS_R000044,MEAS_UNIT_000044,C029,HierarchicalResidualPredicted,38.4255705794897,38.91956090984111,-0.40807647737742636
MEAS_R000044,MEAS_UNIT_000044,C029,SourceMemoryPredicted,38.2756675273658,38.91548331691603,-1.7792549506648892e-05
MEAS_R000045,MEAS_UNIT_000045,C029,BatchSessionPredicted,38.4752138104155,38.9095405009044,-0.13314408572996833
MEAS_R000045,MEAS_UNIT_000045,C029,HierarchicalResidualPredicted,38.5756907601717,38.913415213232696,-0.20782006863708144
MEAS_R000045,MEAS_UNIT_000045,C029,SourceMemoryPredicted,38.7691254117278,38.91067586592566,-0.01598804741525271
MEAS_R000046,MEAS_UNIT_000046,C029,BatchSessionPredicted,38.3184084227383,38.91088053589295,-0.10424186312810436
MEAS_R000046,MEAS_UNIT_000046,C029,HierarchicalResidualPredicted,38.3866795623786,38.90851605759101,-0.45023009743494374
MEAS_R000046,MEAS_UNIT_000046,C029,SourceMemoryPredicted,38.382483027769,38.90793133003213,0.017519888133947066
MEAS_R000047,MEAS_UNIT_000047,C001,BatchSessionPredicted,38.237196739906,38.921753924942365,-0.27140106428253497
MEAS_R000047,MEAS_UNIT_000047,C001,HierarchicalResidualPredicted,38.3598679430456,38.919739064340945,-0.2349653527108087
MEAS_R000047,MEAS_UNIT_000047,C001,SourceMemoryPredicted,38.4318749510483,38.9152778636396,-0.09723686660851069
MEAS_R000048,MEAS_UNIT_000048,C001,BatchSessionPredicted,38.2271972751282,38.90580928065268,-0.2540152254416459
MEAS_R000048,MEAS_UNIT_000048,C001,HierarchicalResidualPredicted,38.651709805006,38.90089801334441,-0.15482722550973843
MEAS_R000048,MEAS_UNIT_000048,C001,SourceMemoryPredicted,37.8806591642695,38.904804190806296,-0.02393115509265916
MEAS_R000049,MEAS_UNIT_000049,C001,BatchSessionPredicted,38.1855772818966,38.92039043710456,-0.33178325477986936
MEAS_R000049,MEAS_UNIT_000049,C001,HierarchicalResidualPredicted,38.5297733215851,38.92023963878839,-0.18476161556592635
MEAS_R000049,MEAS_UNIT_000049,C001,SourceMemoryPredicted,38.3513494311403,38.91499800662478,-0.05620624881933825
MEAS_R000050,MEAS_UNIT_000050,C001,BatchSessionPredicted,38.1805620270955,38.923435689968294,-0.2842794409372457
MEAS_R000050,MEAS_UNIT_000050,C001,HierarchicalResidualPredicted,38.1762745794663,38.91811283222445,-0.4046105344940426
MEAS_R000050,MEAS_UNIT_000050,C001,SourceMemoryPredicted,38.2095344509325,38.91842568784033,-0.06669963557851656
MEAS_R000051,MEAS_UNIT_000051,C001,BatchSessionPredicted,38.2146591737484,38.93646600346175,-0.3468246725407629
MEAS_R000051,MEAS_UNIT_000051,C001,HierarchicalResidualPredicted,38.2174899236277,38.93105451492091,-0.27445541852273087
MEAS_R000051,MEAS_UNIT_000051,C001,SourceMemoryPredicted,38.3325571146043,38.937439481702484,-0.09216857416690842
MEAS_R000052,MEAS_UNIT_000052,C001,BatchSessionPredicted,38.1717958045285,38.91725581397288,-0.286343288157101
