TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,OfficialOOFPrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,ConditionalVsOfficialDifference_C
165,38.0807322518932,38.20697429992499,38.20697429992499,38.206974299925,1.4210854715202004e-14,0.0
166,38.3563941193888,38.11667994782451,38.11667994782451,38.1166799478245,-7.105427357601002e-15,0.0
167,38.4655216986904,38.11657593059765,38.11657593059765,38.11657593059769,4.263256414560601e-14,0.0
168,38.0439893007731,38.1441347730041,38.1441347730041,38.1441347730041,0.0,0.0
169,38.439766827666,38.13263091588776,38.13263091588776,38.1326309158878,4.263256414560601e-14,0.0
170,38.6421216310027,38.12725914688117,38.12725914688117,38.1272591468812,2.8421709430404014e-14,0.0
171,38.1102992872097,38.17575348820145,38.17575348820145,38.1757534882014,-4.973799150320701e-14,0.0
172,38.113730835025,38.18007928460969,38.18007928460969,38.1800792846097,7.105427357601002e-15,0.0
173,38.6334654547904,38.21207362768904,38.21207362768904,38.21207362768899,-4.973799150320701e-14,0.0
174,38.0831780308735,38.28543378610041,38.28543378610041,38.2854337861004,-1.4210854715202004e-14,0.0
175,38.0823836459834,38.18401196052071,38.18401196052071,38.1840119605207,-7.105427357601002e-15,0.0
176,38.5643054067429,39.97001328885465,39.97001328885465,39.9700132888547,4.973799150320701e-14,0.0
177,38.3517420331354,40.0979315357637,40.0979315357637,40.097931535763706,7.105427357601002e-15,0.0
178,38.2441731376191,40.24505025197847,40.24505025197847,40.245050251978505,3.5527136788005016e-14,0.0
179,38.2060642760628,40.23115125278594,40.23115125278594,40.23115125278591,-3.5527136788005016e-14,0.0
180,38.3595772199973,40.2310464269987,40.2310464269987,40.231046426998695,-7.105427357601002e-15,0.0
181,38.042656175138,40.21752952181606,40.21752952181606,40.2175295218161,3.5527136788005016e-14,0.0
182,38.5520295368404,40.13654929957802,40.13654929957802,40.136549299578014,-7.105427357601002e-15,0.0
183,38.4092746689968,40.109798620563296,40.109798620563296,40.109798620563296,0.0,0.0
184,38.2683822704708,40.12705085606956,40.12705085606956,40.1270508560696,4.263256414560601e-14,0.0
185,38.3509495555009,40.09283456282336,40.09283456282336,40.0928345628234,3.5527136788005016e-14,0.0
186,38.1728365045983,40.15296876186318,40.15296876186318,40.15296876186319,1.4210854715202004e-14,0.0
187,38.6226790924593,40.15675418447479,40.15675418447479,40.1567541844748,7.105427357601002e-15,0.0
188,38.289794693185,40.00268270074507,40.00268270074507,40.0026827007451,2.8421709430404014e-14,0.0
189,38.5851721863563,40.14459603841316,40.14459603841316,40.1445960384132,3.5527136788005016e-14,0.0
190,38.2086838145968,38.80875806843834,38.80875806843834,38.8087580684383,-3.5527136788005016e-14,0.0
191,38.1536942190773,38.78721125879037,38.78721125879037,38.78721125879041,3.5527136788005016e-14,0.0
192,38.1014195772462,38.812263217246326,38.812263217246326,38.8122632172463,-2.8421709430404014e-14,0.0
193,38.0988004297921,38.78816464952538,38.78816464952538,38.78816464952539,1.4210854715202004e-14,0.0
