RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C
TEMP_R000203,203,C014,30.4,5.0,11,25.4,-0.17434146202259151,0.0021235868554245006,0.04796860610602256,-0.14296135863325904,38.6844489774825,38.4172383497881,38.4172383497881,0.0,38.3777334519212,0.0395048978668981
TEMP_R000204,204,C014,30.4,5.0,11,25.4,-0.045529733056914885,0.02321232733915047,0.2453903002314342,-0.10675028040216657,38.2902518834822,38.4065744975937,38.4065744975937,0.0,38.40012717007584,0.00644732751786137
TEMP_R000205,205,C014,31.0,6.1,11,24.9,-0.13172438378718354,-0.050745193493500075,-0.012285805249432458,-0.0908696642849828,38.2867938177029,38.0011687708878,38.0011687708878,0.0,37.99980517844922,0.00136359243857953
TEMP_R000206,206,C014,31.0,6.1,11,24.9,-0.19725649815914004,-0.03154910624464158,0.06976377517679269,-0.13224589918150959,38.289412197797,37.9981244693885,37.9981244693885,0.0,38.01223901574672,-0.014114546358222
TEMP_R000207,207,C014,31.6,6.8,12,24.8,-0.47259098080391837,-0.06733264520098459,-0.017677187298867615,-0.06844934053223403,38.6815324533879,38.0554822995519,38.0554822995519,0.0,38.05333251739901,0.00214978215289108
TEMP_R000208,208,C014,31.6,6.8,12,24.8,-0.4525181011539594,-0.04446628509120861,0.01880507195609126,-0.12611183972702614,38.6822283355823,38.0779371815662,38.0779371815662,0.0,38.09614221867787,-0.0182050371116702
TEMP_R000209,209,C014,32.0,6.9,12,25.1,0.05018561990052639,-0.0004080088125591602,-0.09845789410322621,-0.08533342991854137,38.2891974206315,38.1551837076977,38.1551837076977,0.0,38.14855084880598,0.00663285889172016
TEMP_R000210,210,C014,32.0,6.9,12,25.1,-0.03129944243846694,-0.007400989228300389,-0.03368497453875108,-0.08184305787368491,38.3023938644951,38.1481654004159,38.1481654004159,0.0,38.147379986891664,0.000785413524234002
TEMP_R000211,211,C014,30.8,8.0,13,22.8,-0.5077758187645678,-0.07475383896180077,0.025720389945532218,-0.05093666668266532,38.2849681039146,37.6772221694511,37.6772221694511,0.0,37.66777546402361,0.00944670542748582
TEMP_R000212,212,C014,30.8,8.0,13,22.8,-0.5146795029619018,-0.0661423359260335,0.02572038982821684,-0.049284186618181756,38.2843814422226,37.6799958065447,37.6799958065447,0.0,37.666079656828806,0.0139161497158966
TEMP_R000213,213,C014,32.7,9.3,13,23.4,-0.12766887676234856,-0.1522091068712316,-0.29335784524793357,-0.0740502634300822,38.6808421848995,38.0335560925879,38.0335560925879,0.0,38.028795755310426,0.00476033727747449
TEMP_R000214,214,C014,32.7,9.3,13,23.4,-0.193025801633467,-0.014333004196450005,0.07103947182794867,-0.09695795731273134,38.2885995706203,38.0553222793056,38.0553222793056,0.0,38.04947386420285,0.00584841510274714
TEMP_R000215,215,C014,33.2,8.8,14,24.4,-0.000233317795727217,-0.1747508767908415,-0.46669085800365845,-0.07643937057807489,38.680420530455,37.9623061072867,37.9623061072867,0.0,37.96362658345143,-0.00132047616472875
