BootstrapID,N,R2,RMSE,MAE,Bias
270,515,0.8210999619282392,0.3319571001638873,0.16727981478342607,0.00026123346388423217
271,521,0.7328930289518361,0.3634308488195383,0.19634833256130232,-0.0032957827803628266
272,522,0.8342832575654888,0.3040385923467124,0.16938672153079723,0.00399811358536491
273,524,0.8936620301648219,0.26066608661489155,0.14754320252512002,0.003023287894105976
274,521,0.7804255642243425,0.35221149213437936,0.2105280514909011,0.008170277858537653
275,515,0.8573184381804366,0.3017962559184248,0.1670852146929974,-0.0010116653380885083
276,523,0.8429027950675094,0.2715992904733853,0.14067452164433547,-0.007503352133330168
277,522,0.8557210310010694,0.26918903399228267,0.14749929176208804,0.003915054324876422
278,520,0.8674276413084929,0.266960290202523,0.15046818154649547,0.002329007068856944
279,519,0.831824755538405,0.34222875985009965,0.1784855296865382,0.007768079786451199
280,519,0.7767615496026469,0.3524881052025103,0.1788026030404079,-0.004070189141008366
281,523,0.7667291944131656,0.34766592435864946,0.19774014692195566,0.01112723197786091
