Ear_surface_temperature_C,Local_ambient_temperature_C,Core_temperature_C,Compensation_gap_C
31.1,5.4,38.2,7.100000000000001
32.1,5.5,38.5,6.399999999999999
30.4,5.0,38.5,8.100000000000001
31.0,6.1,38.0,7.0
32.0,6.9,38.2,6.200000000000003
32.7,9.3,38.1,5.399999999999999
31.2,6.0,39.2,8.000000000000004
30.4,5.0,38.3,7.899999999999999
32.6,6.1,39.4,6.799999999999997
31.7,6.9,39.2,7.5000000000000036
33.7,8.8,38.6,4.899999999999999
32.4,11.2,39.1,6.700000000000003
29.6,10.9,38.1,8.5
33.3,9.3,38.5,5.200000000000003
32.0,9.0,39.0,7.0
30.8,6.1,39.5,8.7
33.9,9.3,38.8,4.899999999999999
33.1,6.8,38.2,5.100000000000001
32.1,5.4,38.4,6.299999999999997
31.3,6.9,38.3,6.9999999999999964
30.5,5.5,38.1,7.600000000000001
29.5,5.4,38.9,9.399999999999999
32.7,5.5,38.2,5.5
31.1,6.0,38.6,7.5
33.3,11.2,38.0,4.700000000000003
31.1,5.4,38.2,7.100000000000001
32.7,9.3,38.1,5.399999999999999
31.2,6.0,39.2,8.000000000000004
33.8,5.4,39.4,5.600000000000001
33.3,5.5,39.3,6.0
31.5,30.0,38.9,7.399999999999999
38.1,37.8,39.4,1.2999999999999972
36.7,34.5,39.6,2.8999999999999986
37.0,35.5,39.5,2.5
37.1,35.5,40.2,3.1000000000000014
37.0,35.2,40.2,3.200000000000003
36.1,32.8,39.5,3.3999999999999986
38.4,37.9,39.7,1.3000000000000043
35.0,32.7,40.5,5.5
38.1,36.5,39.7,1.6000000000000014
35.1,30.6,39.9,4.799999999999997
36.9,35.3,38.0,1.1000000000000014
35.5,33.2,38.5,3.0
33.8,29.5,39.1,5.300000000000004
37.1,33.5,39.3,2.1999999999999957
37.6,33.4,39.5,1.8999999999999986
36.9,32.4,39.3,2.3999999999999986
34.7,30.0,38.7,4.0
34.8,29.8,38.5,3.700000000000003
37.1,35.1,38.3,1.1999999999999957
37.7,36.2,38.2,0.5
37.9,35.1,38.9,1.0
