PermutationID,R2
512,-0.8238813435035133
513,-1.2862366029145207
514,-0.7889820773808769
515,-0.9170044494388829
516,-0.702379052402424
517,-0.36686379686640525
518,-0.59859051767608
519,-0.5396655903656766
520,-1.2577539425376107
521,-0.36842228406854494
522,-0.5663895024601704
523,-0.27584633687248816
524,-0.15303625491653405
525,-1.4177803754951444
526,-1.19579072640206
527,-1.3886992044882502
528,-1.1149790874707595
529,-0.8886930777716782
530,-0.6908955875790352
531,-1.0598287109840037
532,-0.4415098040503578
533,-0.6825086732785386
534,-0.660056065175203
535,-0.9456029131937533
536,-0.9062596479354346
537,-0.6028818850055173
538,-0.5902140892358512
539,-0.5679629468397711
540,-0.6101633517611045
541,-0.8665502228172368
542,-1.232865223593219
543,-0.9403575595799982
544,-0.556389753267923
545,-0.7428065013562841
546,-0.6890269538816702
547,-0.4547414128180842
548,-0.8285008214145202
549,-0.7140678356434911
550,-0.9854725031958009
551,-0.9826046107173154
552,-0.8663168618984411
553,-1.4257267666625753
554,-0.8500076287690004
555,-0.7313458565047399
556,-0.5705126237756133
557,-0.5720152441975144
558,-0.47568075921363806
559,-0.5374928666611831
560,-0.5686986590824925
561,-0.7347599202256816
562,-0.9458911855094563
563,-0.5533479994370727
564,-1.0192011987058507
565,-0.6875487394094841
566,-1.1525833955498226
567,-0.9185973258554017
568,-0.9526404117146445
569,-0.7923948022372993
570,-0.4628807236027286
571,-0.9021260924852987
572,-0.5064037985258334
573,-0.8826172732830249
574,-1.187698988951186
575,-0.7335383106728446
576,-1.051197170108943
577,-0.3927019418736497
578,-0.7611574163096744
579,-0.625117438848185
580,-0.8600699668917657
581,-0.8232150647587808
582,-0.6361586213776309
583,-0.4358196671583756
584,-0.6391115020471614
585,-0.49680977091285516
586,-1.094467914500599
587,-1.0988658412500931
588,-0.9610218390842264
589,-1.1823598037899852
590,-1.0753050154145734
591,-0.6854354250245716
592,-0.7655960901324896
593,-0.7880633287015204
594,-0.623571095344553
595,-0.9065942034523233
596,-1.1564198621930148
597,-0.812486207375525
598,-0.9434077162891925
599,-0.6381311264387741
600,-0.7486051210924225
601,-1.0254880348567514
602,-1.1784428201867851
603,-0.5702391734277212
604,-1.2854927766560702
605,-0.6955715491325527
606,-0.9806157539035143
607,-0.6945691281551578
608,-0.9456494044330195
609,-0.5760270117974085
610,-1.0892503814016532
611,-0.8811646920085281
612,-0.7673028441816705
613,-0.3507182857528761
614,-0.6157593603362759
615,-0.9445133504908645
616,-0.9982825440820358
617,-0.9010002081389352
618,-1.4226212946230166
619,-0.853039386110616
620,-0.6684990465725598
621,-0.14681496273134753
622,-1.0599607220106622
623,-0.6474178848960064
624,-0.9072097014413183
625,-0.9089614827758572
626,-1.3319318093662549
627,-0.9292907513005022
628,-0.8412346978058218
629,-0.885390030013772
630,-0.8796727339870738
631,-0.7194942829918936
632,-1.5506509475697712
633,-0.9973330920179182
634,-1.2863726798150008
635,-1.1462170898274548
636,-0.18087525683117356
637,-1.1178201398871845
638,-1.1636756213247033
639,-0.7827333916415797
640,-1.0111375699968392
641,-1.1311352088959894
642,-0.6372494875782833
643,-0.9720505271230799
644,-0.7414823062862113
645,-0.8741846616536859
646,-0.48595869295309746
647,-0.7096826717234463
648,-0.9604744816636384
649,-0.7590871133045283
650,-1.0388167979316547
651,-0.8932497267523938
652,-0.5910341780516888
653,-0.8292532256875393
654,-0.7660012273460817
655,-0.7456606743133565
656,-1.0097162007407485
657,-1.197324982793301
658,-0.686922907639093
659,-0.6231086299717625
660,-0.7308194298503838
661,-0.7524357286961856
662,-0.9238213233519688
663,-0.4844279121393227
664,-1.0336315596408507
665,-1.1134841894200904
666,-0.8908297319652008
667,-0.7771197419851041
668,-0.6251456031698552
669,-1.0141625405145387
670,-0.7758983189361899
671,-0.6491831656166305
672,-0.7299140895846112
673,-1.150845317504051
674,-0.3857706998386601
675,-1.2647994472433828
676,-0.30655649865814416
677,-0.9775989065529005
678,-0.39227876706196896
679,-0.6687775598440229
680,-0.8025970238212363
681,-1.2374725878698696
682,-1.0923842582821148
683,-0.8272877022927076
684,-1.6445199398863677
685,-0.6438510888160189
686,-0.5571373104412383
687,-0.8615051937276776
688,-0.9027960007748697
689,-0.6526857265288093
690,-0.8911077143524142
691,-1.3159609237449916
692,-0.6436004688436094
693,-0.788347955114252
694,-0.49665432883038885
695,-1.1940274872163883
696,-1.0284411541458889
697,-0.607859556859873
698,-0.8640583412954363
699,-0.5046042289992307
700,-0.7867163713009864
701,-0.7853968521250281
702,-1.146864470257428
703,-0.4261695313692555
704,-1.0241329889806905
705,-0.817915161458818
706,-1.0847725471288765
707,-0.5098149870905198
708,-1.2806075897626186
709,-0.3169013560940386
710,-0.6267258841341465
711,-0.7800698425764885
712,-1.161129244454882
713,-1.1097695362916227
714,-1.1124341113160008
715,-1.4269167615012286
716,-0.6686210015959035
