TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C
216,38.3011976021373,37.9856466410884,37.9856466410884,0.0
217,38.3007852152741,37.9579453268628,37.9579453268628,0.0
218,38.2840917094004,37.9913089494991,37.9913089494991,0.0
219,38.2886236994051,39.2010581625467,39.2010581625467,0.0
220,38.3047967168281,39.2019948617072,39.2019948617072,0.0
221,38.6833760401035,39.1458709757348,39.1458709757348,0.0
222,38.2900867843506,39.1331714367176,39.1331714367176,0.0
223,38.682991187293,38.7586509486412,38.7586509486412,0.0
224,38.3029301840259,38.7666528569997,38.7666528569997,0.0
225,38.6822738767502,38.3914583019456,38.3914583019456,0.0
226,38.6830768388511,38.3909085978222,38.3909085978222,0.0
227,38.3020172901927,38.295455914249,38.295455914249,0.0
228,38.2836698615921,38.3131048072335,38.3131048072335,0.0
229,38.287578425937,38.4644955488911,38.4644955488911,0.0
230,38.2911760694972,38.4559909497187,38.4559909497187,0.0
231,38.6846144854355,39.4009022027684,39.4009022027684,0.0
232,38.2906633720062,39.4023903386577,39.4023903386577,0.0
233,38.6828793930259,39.1861043042686,39.1861043042686,0.0
234,38.2903028279197,39.1848397046825,39.1848397046825,0.0
235,38.3031050255108,39.000214785848,39.000214785848,0.0
236,38.3028683595546,38.9907959022003,38.9907959022003,0.0
237,38.2853746320182,38.6077560091397,38.6077560091397,0.0
238,38.6834308262159,38.6290825243297,38.6290825243297,0.0
239,38.6831453230877,38.9009334100656,38.9009334100656,0.0
240,38.6832782500729,38.901799256709,38.901799256709,0.0
241,38.6815844897496,38.6144356966981,38.6144356966981,0.0
242,38.2893953969535,38.6187059187001,38.6187059187001,0.0
243,38.3020051624185,39.0901849482925,39.0901849482925,0.0
244,38.2892723850519,39.0902214528506,39.0902214528506,0.0
245,38.2848029926548,39.0109613455065,39.0109613455065,0.0
246,38.3016010556762,38.9892401585148,38.9892401585148,0.0
247,38.3054126054722,39.3202050075581,39.3202050075581,0.0
248,38.6856858939603,39.3235891613143,39.3235891613143,0.0
249,38.6837958840134,39.8740495500649,39.8740495500649,0.0
250,38.2855446472318,39.8786683871921,39.8786683871921,0.0
251,38.6832296525794,39.391963929753,39.391963929753,0.0
252,38.2850507579826,39.4049299910981,39.4049299910981,0.0
253,38.6817948969578,39.3246316595421,39.3246316595421,0.0
254,38.6836974082014,39.3017614069735,39.3017614069735,0.0
272,38.2872344063096,38.3607322824219,38.3607322824219,0.0
273,38.6837883632728,38.3080552032445,38.3080552032445,0.0
274,38.6827680014494,38.3862298601554,38.3862298601554,0.0
275,38.6818454470174,38.3576978637756,38.3576978637756,0.0
276,38.2843798712376,38.3039104402258,38.3039104402258,0.0
277,38.3049494314172,38.7109948509766,38.7109948509766,0.0
278,38.6829858799748,38.2704103145628,38.2704103145628,0.0
279,38.3024278670477,38.6728970601485,38.6728970601485,0.0
280,38.2891249283324,38.6264008289547,38.6264008289547,0.0
281,38.6558692469305,38.9006874564918,38.9006874564918,0.0
282,38.2794474406807,38.8056575597383,38.8056575597383,0.0
283,38.2807596567029,38.68623765396,38.68623765396,0.0
284,38.2793571236945,38.5066900202793,38.5066900202793,0.0
285,38.2800805071171,38.4775659810305,38.4775659810305,0.0
286,38.6902155706509,38.3733912586226,38.3733912586226,0.0
287,38.6561664013892,38.4659310676886,38.4659310676886,0.0
288,38.2798693312951,38.2804225678608,38.2804225678608,0.0
289,38.2790507033866,38.4801854494265,38.4801854494265,0.0
290,38.2822767906794,38.9932235180442,38.9932235180442,0.0
291,38.6934917725452,38.5176495635785,38.5176495635785,0.0
292,38.2800137355305,37.9692620861263,37.9692620861263,0.0
293,38.6558402414936,38.3711845670353,38.3711845670353,0.0
294,38.27979196237,39.5241626402732,39.5241626402732,0.0
295,38.6585466222743,39.1182693498074,39.1182693498074,0.0
296,38.6581306908318,38.6164311708819,38.6164311708819,0.0
297,38.6905425574389,39.307023372112,39.307023372112,0.0
298,38.2793011158023,39.2083051540371,39.2083051540371,0.0
299,38.2800678496708,38.7899331498537,38.7899331498537,0.0
300,38.6901922144518,39.0080477263311,39.0080477263311,0.0
301,38.2790350526106,38.8889241400666,38.8889241400666,0.0
302,38.2824113538581,40.0436131541606,40.0436131541606,0.0
303,38.2817103931189,39.7286905503758,39.7286905503758,0.0
304,38.2811003354738,39.6049236221779,39.6049236221779,0.0
305,38.2805069290121,39.1954370662912,39.1954370662912,0.0
