TargetRowID,CowID,Ear,Air,Time,EarAirGap,SHAP_Ear,SHAP_Air,SHAP_Time,SHAP_CowID
107,13,33.9,11.2,15,22.7,-0.1067023036658589,-0.268077911959157,0.0001536023571103,-0.072718412048489
108,13,33.9,11.2,15,22.7,0.0109915108338309,-0.0105303350501836,0.0235428347723824,-0.1023161877385335
109,13,30.5,9.0,19,21.5,-0.1565817483297576,0.0019370587190768,0.1777295077338579,-0.1281905589271765
110,13,30.5,9.0,19,21.5,-0.1712678353615342,-0.0088553395746989,0.1641617403145983,-0.1200729462764679
111,13,29.6,6.0,21,23.6,-0.5334751131666415,-0.0373169828098921,0.2807254270067419,-0.1229777222974076
112,13,29.6,6.0,21,23.6,-0.5335174894436836,-0.0374898033496181,0.2807254270067651,-0.1233289796444652
113,13,30.6,5.4,22,25.2,-0.369381072899501,-0.1463043080435001,0.4040260096830502,-0.0988339762559492
114,13,30.6,5.4,22,25.2,-0.3026351167613015,-0.079060014070702,0.4268421258909486,-0.1107491495441503
115,13,30.5,5.5,23,25.0,-0.1843169934640425,-0.0383002451511422,0.099368196194358,-0.098045496795177
116,13,30.5,5.5,23,25.0,-0.3766466347473577,-0.0844227017872949,-0.0084787191824755,-0.1434531971622785
117,14,29.5,5.4,0,24.1,0.1639068584235238,0.1792926955851085,0.1929553632877247,0.0816786594129445
118,14,29.5,5.4,0,24.1,-0.0968222505050242,0.0452186520528753,0.2145594499408597,0.0563103617256928
119,14,30.9,6.1,11,24.8,0.9508150051271494,0.4222021516375989,1.3225007167674008,0.0747903300726496
120,14,30.9,6.1,11,24.8,0.979131389472382,0.48756426148325,1.3875502328452178,0.1539240135654509
121,14,31.5,5.0,11,26.5,-0.1384844190960503,0.0835834432435328,0.4145127974146015,0.103154281600218
122,14,31.5,5.0,11,26.5,-0.1098702400880344,0.1068885845645972,0.3813598413298488,0.0528239478668837
123,14,31.9,6.9,12,25.0,-0.2688481616616158,-0.0266560009047331,-0.0503476334160322,0.0291353438637832
124,14,31.9,6.9,12,25.0,-0.2688564092289761,-0.0167462377275905,-0.05032608601219,0.0447647371137556
