SelectedSeed,RecordID,MedianSeedPredicted_C,PredictionRank,EnsembleWeight
20260903,MEAS_R000381,38.47224714554269,3,1.0
20260607,MEAS_R000382,40.43111420173955,3,1.0
20260607,MEAS_R000383,40.544339411546034,3,1.0
20260607,MEAS_R000384,38.17449983726858,3,1.0
20260523,MEAS_R000385,38.32140267582233,3,1.0
20260523,MEAS_R000386,38.2813597016563,3,1.0
20260523,MEAS_R000387,38.18326343921559,3,1.0
20260607,MEAS_R000388,38.9974848257986,3,1.0
20260523,MEAS_R000389,38.95951355710191,3,1.0
20260607,MEAS_R000390,38.951721967203085,3,1.0
20260523,MEAS_R000391,38.95758220743542,3,1.0
20260607,MEAS_R000392,38.51603096774941,3,1.0
20260523,MEAS_R000393,38.585994850464246,3,1.0
20260523,MEAS_R000394,38.47848435006681,3,1.0
20260701,MEAS_R000395,38.52484970922801,3,1.0
20260523,MEAS_R000396,38.57121375293536,3,1.0
20260903,MEAS_R000397,37.721074258123366,3,1.0
20260701,MEAS_R000398,37.70381956018333,3,1.0
20260523,MEAS_R000399,37.7377200299681,3,1.0
20260903,MEAS_R000400,37.557792192477386,3,1.0
20260811,MEAS_R000401,37.68561476051828,3,1.0
20260811,MEAS_R000402,37.804617833930855,3,1.0
20260523,MEAS_R000403,37.7728509770419,3,1.0
20260607,MEAS_R000404,37.8944208117239,3,1.0
20260701,MEAS_R000405,37.78669975476072,3,1.0
20260903,MEAS_R000406,39.54635720345751,3,1.0
20260701,MEAS_R000407,39.59503282066812,3,1.0
20260607,MEAS_R000408,39.41297983589907,3,1.0
20260701,MEAS_R000409,38.67456975974314,3,1.0
20260607,MEAS_R000410,38.17032042882459,3,1.0
20260903,MEAS_R000411,38.194532125432616,3,1.0
20260607,MEAS_R000412,38.11691369698181,3,1.0
20260607,MEAS_R000413,38.11570128403706,3,1.0
20260607,MEAS_R000414,38.187762983729705,3,1.0
20260903,MEAS_R000415,39.742958291022624,3,1.0
20260811,MEAS_R000416,40.457444766874346,3,1.0
20260811,MEAS_R000417,40.462698445992885,3,1.0
20260523,MEAS_R000418,40.47327240537821,3,1.0
20260811,MEAS_R000419,39.52135783174498,3,1.0
20260607,MEAS_R000420,39.60264634364791,3,1.0
20260811,MEAS_R000421,39.54081711347908,3,1.0
20260607,MEAS_R000422,39.67574692172576,3,1.0
20260701,MEAS_R000423,38.73485302433805,3,1.0
20260523,MEAS_R000424,38.63162779542884,3,1.0
20260523,MEAS_R000425,38.721431778456974,3,1.0
20260811,MEAS_R000426,38.714035362000764,3,1.0
20260701,MEAS_R000427,38.32403914776832,3,1.0
20260811,MEAS_R000428,38.36603780680387,3,1.0
20260811,MEAS_R000429,38.39987346611426,3,1.0
20260523,MEAS_R000430,38.12491677552956,3,1.0
20260811,MEAS_R000431,38.18128145068849,3,1.0
20260903,MEAS_R000432,38.210220081236486,3,1.0
20260811,MEAS_R000433,38.09956814164461,3,1.0
20260607,MEAS_R000434,38.120746773809216,3,1.0
20260903,MEAS_R000435,39.56546291095555,3,1.0
20260607,MEAS_R000436,40.300305770011136,3,1.0
20260701,MEAS_R000437,40.30226367274688,3,1.0
20260811,MEAS_R000438,40.3960576955321,3,1.0
20260903,MEAS_R000439,39.00990491053967,3,1.0
20260811,MEAS_R000440,39.10278553377986,3,1.0
20260607,MEAS_R000441,38.73059275072066,3,1.0
20260607,MEAS_R000442,39.10713853140445,3,1.0
20260607,MEAS_R000443,39.122577945626816,3,1.0
20260523,MEAS_R000444,39.12693036271354,3,1.0
20260701,MEAS_R000445,39.07915613695136,3,1.0
20260811,MEAS_R000446,37.98613855523151,3,1.0
20260811,MEAS_R000447,38.330473296683856,3,1.0
20260607,MEAS_R000448,38.33374011283751,3,1.0
20260701,MEAS_R000449,38.28043804022599,3,1.0
20260607,MEAS_R000450,38.62818267115412,3,1.0
20260903,MEAS_R000451,38.65908266595222,3,1.0
20260701,MEAS_R000452,38.728651828571046,3,1.0
20260701,MEAS_R000453,38.78411707531313,3,1.0
20260701,MEAS_R000454,38.69431261818576,3,1.0
20260523,MEAS_R000455,38.68833739370905,3,1.0
20260701,MEAS_R000456,38.82201720133478,3,1.0
20260903,MEAS_R000457,38.56930277188376,3,1.0
20260811,MEAS_R000458,39.02061264314517,3,1.0
20260903,MEAS_R000459,39.39373567726283,3,1.0
20260903,MEAS_R000460,38.790932997788175,3,1.0
20260701,MEAS_R000461,38.7852170188762,3,1.0
20260607,MEAS_R000462,38.75720910224448,3,1.0
20260607,MEAS_R000463,38.74544365842894,3,1.0
20260701,MEAS_R000464,38.76094636630229,3,1.0
20260523,MEAS_R000465,39.40938018194648,3,1.0
20260523,MEAS_R000466,39.52406393746455,3,1.0
20260523,MEAS_R000467,39.602484665449495,3,1.0
20260523,MEAS_R000468,39.5156963958658,3,1.0
20260811,MEAS_R000469,40.22236047766026,3,1.0
20260811,MEAS_R000470,39.59055708000686,3,1.0
20260607,MEAS_R000471,38.3252779911731,3,1.0
20260811,MEAS_R000472,38.32669623380111,3,1.0
20260701,MEAS_R000473,38.31606102243042,3,1.0
20260607,MEAS_R000474,38.19067707524823,3,1.0
20260903,MEAS_R000475,38.20045183722284,3,1.0
20260701,MEAS_R000476,38.28439655637338,3,1.0
20260903,MEAS_R000477,38.21552726378018,3,1.0
20260523,MEAS_R000478,38.23593280560741,3,1.0
20260811,MEAS_R000479,38.42710968982385,3,1.0
20260607,MEAS_R000480,38.39539879611927,3,1.0
20260523,MEAS_R000481,38.3974744240924,3,1.0
20260903,MEAS_R000482,38.910764445237206,3,1.0
20260523,MEAS_R000483,38.91648022193691,3,1.0
20260607,MEAS_R000484,39.241073063127,3,1.0
20260903,MEAS_R000485,38.985284988854914,3,1.0
20260903,MEAS_R000486,39.38202028827656,3,1.0
20260523,MEAS_R000487,39.372495347533786,3,1.0
20260903,MEAS_R000488,39.38598698375559,3,1.0
20260701,MEAS_R000489,39.38615403807055,3,1.0
20260523,MEAS_R000490,39.29335495821761,3,1.0
20260607,MEAS_R000491,39.43266270830609,3,1.0
20260607,MEAS_R000492,39.42872532644621,3,1.0
20260811,MEAS_R000493,39.408737170824914,3,1.0
20260811,MEAS_R000494,38.65451987861657,3,1.0
20260701,MEAS_R000495,38.71575823782601,3,1.0
20260811,MEAS_R000496,38.70684028568878,3,1.0
20260523,MEAS_R000497,38.66943321313032,3,1.0
20260523,MEAS_R000498,38.68759068265531,3,1.0
20260811,MEAS_R000499,38.675278245241714,3,1.0
20260701,MEAS_R000500,38.573792279181376,3,1.0
20260701,MEAS_R000501,38.637086797778245,3,1.0
20260523,MEAS_R000502,38.68411747717046,3,1.0
20260811,MEAS_R000503,38.6195661221405,3,1.0
20260523,MEAS_R000504,38.991240177406986,3,1.0
20260607,MEAS_R000505,38.95445944336004,3,1.0
20260811,MEAS_R000506,38.6338688707066,3,1.0
20260607,MEAS_R000507,39.83921414107169,3,1.0
20260811,MEAS_R000508,38.6698909920872,3,1.0
20260811,MEAS_R000509,40.2753135586174,3,1.0
20260903,MEAS_R000510,40.20832507514194,3,1.0
20260903,MEAS_R000511,40.16062570202484,3,1.0
20260523,MEAS_R000512,40.13952941504468,3,1.0
