Seed,RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C,RawTechnicalBaselinePrediction_C,RawFullPipelinePrediction_C,ReplayAnchorCorrection_C
20260701,MEAS_R000071,71,C027,32.5,6.0,21,26.5,0.0060799125508997,0.0143864182340832,0.2050469532793,0.242746651137915,38.5221878248941,38.99044776009627,38.990447760096295,2.842170943040401e-14,38.99044776009627,0.0,38.4918408520966,38.9601007872988,0.0303469727974672
20260607,MEAS_R000072,72,C027,32.7,5.5,23,27.2,0.009347449270642,0.0199030419614417,0.0723451021877063,0.452220350100707,38.4303498550259,38.98416579854637,38.9841657985464,2.842170943040401e-14,38.98416579854637,0.0,38.4087585062039,38.9625744497244,0.0215913488219712
20260811,MEAS_R000073,73,C026,28.6,5.4,0,23.2,-0.0035677358255992,0.008688434422216,0.0367129629027498,0.115633218899434,38.4757648371394,38.63323171753824,38.6332317175382,-3.552713678800501e-14,38.63323171753824,0.0,38.477124488457,38.6345913688558,-0.0013596513175571
20260701,MEAS_R000074,74,C026,33.9,8.0,13,25.9,0.0174626213929088,0.0356223588482104,-0.0183318112063742,0.471381807004859,38.1326797263972,38.6388147024368,38.638814702436804,7.105427357601002e-15,38.6388147024368,0.0,38.1371519357104,38.64328691175,-0.0044722093131994
20260523,MEAS_R000075,75,C026,33.9,11.2,15,22.7,-0.0014576873697495,0.0011138270739354,-0.0005696143703488,0.469658938761967,38.1161090812865,38.58485454538234,38.584854545382306,-3.552713678800501e-14,38.58485454538234,0.0,38.1123814418483,38.5811269059441,0.0037276394382388
20260811,MEAS_R000076,76,C026,30.6,9.0,19,21.6,0.0230123490993594,0.016232575572244,0.340053012094942,0.28713134255356,38.0931190436812,38.7595483230013,38.759548323001304,7.105427357601002e-15,38.7595483230013,0.0,38.1344187560796,38.8008480353997,-0.0412997123984056
20260811,MEAS_R000077,77,C026,30.7,6.0,21,24.7,0.032417196804983,0.0281989459884512,0.106497259181232,0.350050469142034,38.2463765623645,38.763540433481225,38.763540433481204,-2.1316282072803006e-14,38.763540433481225,0.0,38.2520033973571,38.7691672684738,-0.0056268349925758
20260701,MEAS_R000078,78,C026,30.6,5.4,22,25.2,-0.0394885603770897,0.0054578358062566,0.200869513661175,0.42578468335536,38.0812987471777,38.67392221962339,38.6739222196234,7.105427357601002e-15,38.67392221962339,0.0,38.0749407238928,38.6675641963385,0.0063580232848892
20260811,MEAS_R000079,79,C026,30.7,5.5,23,25.2,-0.008392629886039,0.0030541025504078,-0.0079345781241594,0.274056995598992,38.4732918895519,38.734075779691146,38.7340757796911,-4.263256414560601e-14,38.734075779691146,0.0,38.4751800607273,38.7359639508665,-0.0018881711753522
20260701,MEAS_R000080,80,C016,28.7,5.4,0,23.3,-0.0167215767639846,-0.0097306982706169,0.0603377222002,0.429224631703999,38.1925987875979,38.6557088664675,38.655708866467506,7.105427357601002e-15,38.6557088664675,0.0,38.1916775037145,38.6547875825841,0.0009212838834002
20260523,MEAS_R000081,81,C016,31.8,6.1,11,25.7,-0.0076505406045335,0.0077479226757475,0.166434556869383,0.378275026564598,38.0896076287446,38.6344145942498,38.634414594249805,7.105427357601002e-15,38.6344145942498,0.0,38.0972341201993,38.6420410857045,-0.007626491454701
20260523,MEAS_R000082,82,C016,32.2,6.9,12,25.3,0.0024493707882899,0.0140677525839242,0.0107635846310584,0.0785780024772246,38.4612032200604,38.56706193054092,38.567061930540895,-2.842170943040401e-14,38.56706193054092,0.0,38.4604301515469,38.5662888620274,0.0007730685135243
20260903,MEAS_R000083,83,C016,31.9,9.3,13,22.6,-0.0090660971858831,-0.0039548150113664,0.0081958459980822,0.0460793086994684,38.5171838213293,38.55843806382964,38.5584380638296,-4.263256414560601e-14,38.55843806382964,0.0,38.516779982429,38.5580342249293,0.0004038389003397
20260701,MEAS_R000084,84,C016,33.0,8.8,14,24.2,0.0083778147128003,0.0226502500267027,-0.0241219540057986,0.353331739359701,38.144456284633,38.50469413472642,38.50469413472641,-1.4210854715202004e-14,38.50469413472642,0.0,38.1380817129078,38.4983195630012,0.0063745717252174
20260701,MEAS_R000085,85,C016,33.2,9.1,15,24.1,-0.0012559307504827,-0.0009665760642967,1.41181915841078e-05,0.3814818186341,38.0685818645477,38.44785529455858,38.447855294558615,3.552713678800501e-14,38.44785529455858,0.0,38.0657664237923,38.4450398538032,0.0028154407553771
20260523,MEAS_R000086,86,C016,32.1,9.0,19,23.1,0.0336032347087164,0.012943072726601,0.348233984131684,0.1739747034597,38.1203183367492,38.68907333177586,38.689073331775894,3.552713678800501e-14,38.68907333177586,0.0,38.1131159916752,38.6818709867019,0.0072023450739564
20260903,MEAS_R000087,87,C016,31.1,6.0,21,25.1,-0.010872869703834,0.0111039156297501,0.24940366739495,0.117247084763832,38.5155284229641,38.8824102210488,38.8824102210488,0.0,38.8824102210488,0.0,38.516683080716,38.8835648788007,-0.0011546577519041
20260811,MEAS_R000088,88,C016,31.8,5.5,23,26.3,-0.0045485184434011,-0.0459303977833028,0.104613481370299,0.160581950108099,38.444118327955,38.65883484320667,38.6588348432067,2.842170943040401e-14,38.65883484320667,0.0,38.4471928535102,38.6619093687619,-0.0030745255552275
20260811,MEAS_R000089,89,C022,25.4,5.4,0,20.0,-0.017426252708957,0.001919051457173,-0.0228916935741073,-0.0127197562096105,38.4731406140361,38.422021963000645,38.42202196300059,-5.684341886080802e-14,38.422021963000645,0.0,38.4728732024916,38.4217545514561,0.0002674115445486
