Seed,RecordID,RowID,CowKey,Ear_C,Air_C,Time_hour,EarAirGap_C,SHAP_Ear_temperature_C,SHAP_Ambient_temperature_C,SHAP_Time_diurnal_C,SHAP_Cow_identity_C,TechnicalBaselinePrediction_C,ConditionalFullPipelinePrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,OfficialOOFPrediction_C,ConditionalVsOfficialDifference_C,RawTechnicalBaselinePrediction_C,RawFullPipelinePrediction_C,ReplayAnchorCorrection_C
20260607,MEAS_R000031,31,C002,33.7,9.0,19,24.7,0.061145822186217,0.0019131487852514,0.100600563363968,0.626340955634867,38.4319195831295,39.221920073099845,39.2219200730998,-4.263256414560601e-14,39.221920073099845,0.0,38.4060374819603,39.1960379719306,0.0258821011692447
20260903,MEAS_R000032,32,C002,32.6,6.0,21,26.6,0.0230431314421745,0.0052735938344585,0.298091202640506,0.754005251027059,38.2267630821339,39.30717626107811,39.3071762610781,-1.4210854715202004e-14,39.30717626107811,0.0,38.2337415924107,39.3141547713549,-0.006978510276788
20260903,MEAS_R000033,33,C002,33.2,5.4,22,27.8,-0.0110154654137986,-0.003461058800917,0.0159845200386322,0.641016251449185,38.5197219462651,39.16224619353821,39.16224619353821,0.0,39.16224619353821,0.0,38.5145929151138,39.1571171623869,0.0051290311513057
20260701,MEAS_R000034,34,C002,33.5,5.5,23,28.0,0.0650032952636922,0.0284662239151909,0.327207815931258,0.71122152207476,38.1792917785224,39.31119063570729,39.3111906357073,7.105427357601002e-15,39.31119063570729,0.0,38.1146634956451,39.24656235283,0.0646282828772939
20260811,MEAS_R000035,35,C029,31.8,5.4,0,26.4,0.0444316307381255,0.0125239701567909,0.240396029605723,0.0116757018808578,38.0907728195535,38.39980015193501,38.399800151935004,-7.105427357601002e-15,38.39980015193501,0.0,38.1121057392887,38.4211330716702,-0.0213329197351939
20260811,MEAS_R000036,36,C029,35.7,6.1,11,29.6,0.0812597754159174,0.0197656666624031,0.0665485571014669,0.0913404568751156,38.1030969603666,38.36201141642152,38.3620114164215,-1.4210854715202004e-14,38.36201141642152,0.0,38.0977081281987,38.3566225842536,0.0053888321679238
20260903,MEAS_R000037,37,C029,32.9,6.9,12,26.0,-0.0175051656926157,-0.0037059747671666,-0.0021142413425163,-0.133996400917499,38.4633380051231,38.306016222403294,38.3060162224033,7.105427357601002e-15,38.306016222403294,0.0,38.4531572192249,38.2958354365051,0.0101807858981928
20260811,MEAS_R000038,38,C029,33.1,6.8,12,26.3,0.0048201842040427,0.0024764063983759,-0.0099780591123739,-0.199264364259541,38.4698237050405,38.26787787227097,38.267877872271,2.842170943040401e-14,38.26787787227097,0.0,38.4675916849504,38.2656458521809,0.0022320200900694
20260811,MEAS_R000039,39,C029,33.2,9.3,13,23.9,0.0276588240581083,0.0006599623227578,-0.0432392898047767,0.202376312943509,38.1023366301434,38.28979243966296,38.289792439662996,3.552713678800501e-14,38.28979243966296,0.0,38.0994824462334,38.286938255753,0.0028541839099602
20260607,MEAS_R000040,40,C029,36.3,8.0,13,28.3,0.0552248946618927,0.0027841731140239,-0.0083153323633927,-0.125011506778526,38.348377641904,38.27305987053797,38.27305987053799,2.1316282072803006e-14,38.27305987053797,0.0,38.358241177581,38.282923406215,-0.0098635356770273
20260811,MEAS_R000041,41,C029,33.6,8.8,14,24.8,0.0504847200757605,0.0065304171090735,-0.0115250778805264,0.0980546824387917,38.1271762245015,38.27072096624463,38.270720966244596,-3.552713678800501e-14,38.27072096624463,0.0,38.1120180886359,38.255562830379,0.0151581358656259
20260607,MEAS_R000042,42,C029,35.0,11.2,15,23.8,0.0391450963377847,0.0027321593789674,0.0005241640852157,0.0607584556497341,38.1771780054065,38.280337880858205,38.2803378808582,-7.105427357601002e-15,38.280337880858205,0.0,38.1706510242066,38.2738108996583,0.0065269811999044
20260523,MEAS_R000043,43,C029,33.2,9.0,19,24.2,0.0296600516614411,0.0075384903935737,0.281276516727259,0.0078023608834267,38.1017817106226,38.42805913028835,38.4280591302883,-4.973799150320701e-14,38.42805913028835,0.0,38.1081141287491,38.4343915484148,-0.0063324181264548
20260903,MEAS_R000044,44,C029,31.3,6.0,21,25.3,0.0226493182591518,0.0062899742572343,0.227771793309466,-0.0418562365919506,38.2204883672667,38.43534321650056,38.43534321650059,2.842170943040401e-14,38.43534321650056,0.0,38.2158606083794,38.4307154576133,0.0046277588872527
20260701,MEAS_R000045,45,C029,32.1,5.4,22,26.7,0.0336204437512097,-0.0106571488192569,0.184715639040206,0.184869612753242,38.1702175613942,38.56276610811963,38.562766108119604,-2.842170943040401e-14,38.56276610811963,0.0,38.1740551592467,38.5666037059721,-0.0038375978524669
