"FoldID","RowID","Source","AbsResidual"
2,198,"S03",0.0349295696594893
2,199,"S03",0.0534001304265956
2,210,"S03",0.0526200131083385
2,216,"S03",0.0162741838802915
2,217,"S03",0.0392223318859024
2,220,"S03",0.139080899105345
2,224,"S03",0.0332755275781835
2,227,"S03",0.0085795314792633
2,235,"S03",4.93998033377352e-05
2,236,"S03",0.0057238942959401
2,243,"S03",0.0092248580738569
2,246,"S03",0.0043771114187336
2,247,"S03",0.161568178574939
2,277,"S03",0.31041188696139
2,279,"S03",0.479861541839007
2,283,"S04",0.013487273120063
2,289,"S04",0.0201383546861961
2,292,"S04",0.0327064894412316
2,298,"S04",0.009834082966492
2,301,"S04",0.0100838468822246
2,302,"S04",0.0471482527050355
2,306,"S04",0.0414729004239617
2,310,"S04",0.0301928624902245
2,315,"S04",0.0226519816372032
2,319,"S04",0.0041587306854182
2,328,"S04",0.0276792355392245
2,329,"S04",0.0321443579893241
2,334,"S04",0.0151111007841819
2,337,"S04",0.0824668312501515
2,341,"S04",0.0051698117492051
2,351,"S04",0.0100838468822246
2,359,"S04",0.008823001902769
2,363,"S04",0.0301928624902245
2,367,"S04",0.0075702199312175
2,371,"S04",0.036808629206618
2,376,"S04",0.0461371716412486
2,381,"S04",0.0327064894412316
2,383,"S04",0.232444286213244
2,394,"S04",0.0181515443373498
2,397,"S04",0.132444286213243
2,398,"S04",0.0424839814877486
3,1003,"S01",0.271910025437869
3,1009,"S01",0.0756459455758857
3,1011,"S01",0.132825289334114
3,1014,"S01",0.341139705871171
3,1022,"S01",0.0396000774195073
3,1023,"S01",0.89880250971779
3,1030,"S01",0.0765508011080911
3,1037,"S01",0.156153451052937
3,1041,"S01",0.112123652443422
3,1043,"S01",0.0152738392082838
3,1048,"S01",0.132099599146635
3,1054,"S01",0.263720156689061
3,1059,"S01",0.286931958530495
3,1060,"S01",0.299956397233679
3,1068,"S01",0.148486314533287
3,1071,"S01",0.155834646927232
3,1078,"S01",0.751888993548583
3,1079,"S01",0.10603866212211
3,1093,"S01",0.249068891032813
3,1094,"S01",0.177117672915962
3,1096,"S01",1.37053758453093
3,1099,"S01",1.2680664450458
3,1102,"S01",0.116077626567346
3,1111,"S01",0.1905811206477
3,1114,"S01",0.349850022710399
3,1124,"S01",0.157348308431047
3,1128,"S01",0.102858443075057
3,3,"S03",0.020371748559782
3,4,"S03",0.176490266783084
3,24,"S03",0.0131299802779381
3,27,"S03",0.0925656082293926
3,28,"S03",0.0923917492066905
3,31,"S03",0.0058692372577411
3,33,"S03",0.037839033296926
3,40,"S03",0.0788023270612967
3,41,"S03",0.0024228690430447
3,44,"S03",0.0031736258032353
3,49,"S03",0.0107212744739655
3,56,"S03",0.0175896547960974
3,66,"S03",0.0018472488825906
3,67,"S03",0.018085332115568
3,78,"S03",0.0357112578592548
3,81,"S03",0.0008707586961449
