RecordID,Ear,Air,Actual,Predicted
MEAS_R000348,37.6,34.2,39.7,39.51079614736948
MEAS_R000349,36.9,33.8,39.6,39.53245343465923
MEAS_R000350,36.9,32.4,39.3,39.50395013901141
MEAS_R000351,37.7,33.1,40.7,40.34494134678594
MEAS_R000352,35.0,28.7,39.2,39.420077927938
MEAS_R000353,35.2,30.1,39.4,39.58934523369181
MEAS_R000354,37.2,31.8,40.6,40.31415670152776
MEAS_R000355,34.9,27.6,38.3,39.7221247513858
MEAS_R000356,34.6,27.1,40.2,39.27460221334706
MEAS_R000357,29.3,20.6,39.3,39.07034054879736
MEAS_R000358,34.7,30.0,38.7,38.66765348477578
MEAS_R000359,35.2,30.9,38.6,38.73218700827266
MEAS_R000360,34.8,30.3,38.6,38.66085476944615
MEAS_R000361,35.8,32.1,39.3,39.01708990789916
MEAS_R000362,34.5,29.7,39.2,39.100021529772256
MEAS_R000363,34.8,29.8,38.5,38.73273008719494
MEAS_R000364,33.8,27.6,39.1,39.13374073271113
MEAS_R000365,33.0,25.7,39.1,39.15397154989684
MEAS_R000366,32.9,25.3,39.0,39.12809163340041
MEAS_R000367,36.1,34.0,38.0,38.42137957169963
MEAS_R000368,36.0,33.2,38.0,38.41123175904396
MEAS_R000369,36.9,34.5,38.6,38.35885553061499
MEAS_R000370,36.0,33.0,38.3,38.15149730663107
MEAS_R000371,37.1,35.1,38.3,38.4744756654698
MEAS_R000372,37.7,36.2,38.2,38.497932277388266
MEAS_R000373,38.2,37.2,38.4,38.16455008100219
MEAS_R000374,37.7,35.7,38.7,39.01381711985557
MEAS_R000375,36.7,33.9,38.2,38.61916225371512
MEAS_R000376,37.9,35.1,38.9,38.93769491931676
MEAS_R000377,35.4,31.9,40.4,40.49747280628085
MEAS_R000378,36.5,33.6,38.4,38.43736739670026
MEAS_R000379,38.1,35.1,39.2,38.88536934984072
MEAS_R000380,35.9,32.3,41.2,40.12433641799729
MEAS_R000381,36.3,33.3,38.5,38.47224714554269
MEAS_R000382,35.2,30.6,40.5,40.43111420173955
MEAS_R000383,34.0,28.8,40.2,40.544339411546034
MEAS_R000384,31.9,7.2,38.2,38.17449983726858
MEAS_R000385,30.7,11.2,38.3,38.32140267582233
MEAS_R000386,32.5,12.3,38.3,38.2813597016563
MEAS_R000387,35.3,14.4,38.2,38.18326343921559
MEAS_R000388,36.7,5.2,39.0,38.9974848257986
MEAS_R000389,34.2,4.8,39.0,38.95951355710191
MEAS_R000390,33.4,11.7,39.0,38.951721967203085
MEAS_R000391,34.8,8.0,39.0,38.95758220743542
MEAS_R000392,32.8,6.0,38.5,38.51603096774941
MEAS_R000393,34.1,10.9,38.6,38.585994850464246
MEAS_R000394,32.9,6.4,38.5,38.47848435006681
MEAS_R000395,32.0,8.0,38.5,38.52484970922801
MEAS_R000396,34.7,10.4,38.6,38.57121375293536
MEAS_R000397,29.6,4.9,37.6,37.721074258123366
MEAS_R000398,30.9,3.0,37.7,37.70381956018333
MEAS_R000399,28.8,2.9,37.7,37.7377200299681
MEAS_R000400,27.6,7.5,37.5,37.557792192477386
MEAS_R000401,32.1,7.6,37.6,37.68561476051828
MEAS_R000402,31.1,21.0,37.8,37.804617833930855
MEAS_R000403,35.8,28.9,37.7,37.7728509770419
MEAS_R000404,36.5,34.0,37.9,37.8944208117239
MEAS_R000405,36.3,32.3,37.7,37.78669975476072
MEAS_R000406,33.4,30.1,39.5,39.54635720345751
MEAS_R000407,29.3,25.1,39.6,39.59503282066812
MEAS_R000408,34.6,33.0,39.4,39.41297983589907
MEAS_R000409,34.7,33.3,38.7,38.67456975974314
MEAS_R000410,34.2,6.0,38.2,38.17032042882459
MEAS_R000411,33.9,7.9,38.2,38.194532125432616
MEAS_R000412,30.1,7.6,38.1,38.11691369698181
MEAS_R000413,33.5,7.5,38.1,38.11570128403706
MEAS_R000414,33.2,8.4,38.2,38.187762983729705
MEAS_R000415,35.9,33.8,39.7,39.742958291022624
MEAS_R000416,34.8,27.3,40.4,40.457444766874346
MEAS_R000417,35.7,32.0,40.4,40.462698445992885
MEAS_R000418,32.6,22.0,40.5,40.47327240537821
MEAS_R000419,35.6,31.7,39.6,39.52135783174498
MEAS_R000420,36.1,32.2,39.6,39.60264634364791
MEAS_R000421,39.8,40.4,39.5,39.54081711347908
MEAS_R000422,36.9,32.0,39.7,39.67574692172576
MEAS_R000423,34.0,28.2,38.7,38.73485302433805
MEAS_R000424,35.9,32.6,38.6,38.63162779542884
MEAS_R000425,36.2,31.3,38.8,38.721431778456974
MEAS_R000426,34.5,30.1,38.7,38.714035362000764
MEAS_R000427,31.2,14.2,38.3,38.32403914776832
MEAS_R000428,29.5,11.7,38.3,38.36603780680387
