Ear_surface_temperature_C,Local_ambient_temperature_C,Measured_core_temperature_C,Predicted_core_temperature_C,Raw_temperature_gap_C,Residual_measured_minus_predicted_C,Raw_absolute_error_C,Compensated_absolute_error_C,Bland_Altman_mean_C
30.5,9.0,38.2,38.17232076446078,7.700000000000003,0.027679235539224578,7.700000000000003,0.027679235539224578,38.18616038223039
29.6,6.0,38.3,38.26785564201067,8.699999999999996,0.032144357989324135,8.699999999999996,0.032144357989324135,38.283927821005335
31.5,5.0,38.7,38.68488889921582,7.200000000000003,0.015111100784181986,7.200000000000003,0.015111100784181986,38.69244444960791
32.8,9.3,38.5,38.58246683125015,5.700000000000003,-0.08246683125015153,5.700000000000003,0.08246683125015153,38.54123341562507
32.3,9.0,39.1,39.10516981174921,6.800000000000004,-0.0051698117492051665,6.800000000000004,0.0051698117492051665,39.10258490587461
28.7,5.4,38.9,38.889916153117774,10.2,0.010083846882224634,10.2,0.010083846882224634,38.894958076558886
31.8,5.5,38.8,38.79117699809723,6.9999999999999964,0.008823001902769079,6.9999999999999964,0.008823001902769079,38.79558849904861
29.7,6.9,38.1,38.06980713750978,8.400000000000002,0.03019286249022457,8.400000000000002,0.03019286249022457,38.08490356875489
31.2,8.8,39.0,38.99242978006878,7.800000000000001,0.007570219931217537,7.800000000000001,0.007570219931217537,38.996214890034395
31.5,6.0,38.2,38.163191370793385,6.700000000000003,0.03680862920661809,6.700000000000003,0.03680862920661809,38.181595685396694
31.0,6.1,38.0,37.95386282835875,7.0,0.04613717164124864,7.0,0.04613717164124864,37.976931414179376
33.2,8.8,38.0,37.96729351055877,4.799999999999997,0.03270648944123167,4.799999999999997,0.03270648944123167,37.98364675527938
32.1,9.0,39.0,39.23244428621325,6.899999999999999,-0.23244428621325142,6.899999999999999,0.23244428621325142,39.116222143106626
33.7,8.8,38.6,38.58184845566265,4.899999999999999,0.01815154433734989,4.899999999999999,0.01815154433734989,38.59092422783132
32.1,9.0,39.1,39.23244428621325,7.0,-0.13244428621325,7.0,0.13244428621325,39.16622214310662
33.5,6.0,39.9,39.94248398148775,6.399999999999999,-0.04248398148774868,6.399999999999999,0.04248398148774868,39.92124199074387
36.6,34.5,39.3,39.46928712306741,2.6999999999999957,-0.1692871230674129,2.6999999999999957,0.1692871230674129,39.38464356153371
36.0,32.9,39.3,39.59043153847233,3.299999999999997,-0.2904315384723333,3.299999999999997,0.2904315384723333,39.445215769236164
36.6,33.9,39.4,39.248344392211024,2.799999999999997,0.15165560778897458,2.799999999999997,0.15165560778897458,39.32417219610551
37.7,36.9,39.1,39.20416897490939,1.3999999999999986,-0.10416897490939192,1.3999999999999986,0.10416897490939192,39.1520844874547
36.6,35.0,39.1,39.17979553025526,2.5,-0.07979553025526087,2.5,0.07979553025526087,39.13989776512763
36.2,33.9,40.2,40.19049237131971,4.0,0.009507628680289315,4.0,0.009507628680289315,40.195246185659855
39.3,38.8,39.5,39.38443052778362,0.20000000000000284,0.1155694722163787,0.20000000000000284,0.1155694722163787,39.44221526389181
33.4,26.5,40.8,40.39010303927639,7.399999999999999,0.40989696072360715,7.399999999999999,0.40989696072360715,40.59505151963819
37.7,36.2,39.5,39.486176547762696,1.7999999999999972,0.013823452237303968,1.7999999999999972,0.013823452237303968,39.49308827388135
