RecordID,RowID,FoldID,Actual,Predicted,SHAP_base_value_C,SHAP_sum_C,SHAP_reconstructed_unclipped_C,SHAP_SourceMemoryPredicted_C,SHAP_BatchSessionPredicted_C,SHAP_HierarchicalResidualPredicted_C
TEMP_R000352,352,4,39.2,39.20946587134584,38.79926289983865,0.410202971507186,39.20946587134584,0.10274222492963454,0.09210973675196424,0.21535100982558722
TEMP_R000353,353,3,38.0,38.11841766630347,38.793984962448135,-0.6755672961446653,38.11841766630347,-0.1919447171752728,-0.19776985400423167,-0.28585272496516084
TEMP_R000354,354,3,38.1,38.33625037111435,38.793984962448135,-0.4577345913337779,38.33625037111436,-0.20287262189026933,-0.19244134331421286,-0.06242062612929575
TEMP_R000355,355,4,38.3,38.27450824959177,38.79926289983865,-0.5247546502468878,38.27450824959176,-0.12306604315159475,-0.12395779225154561,-0.2777308148437474
TEMP_R000356,356,1,38.7,38.65854442693984,38.780562658734105,-0.12201823179427146,38.658544426939834,-0.02039196106942839,-0.0331166868900436,-0.06850958383479946
TEMP_R000357,357,1,39.4,39.24375386340631,38.780562658734105,0.4631912046722018,39.243753863406305,0.10898959686824305,0.1546938696381694,0.19950773816578937
TEMP_R000358,358,5,38.6,38.60573338399938,38.79452380910577,-0.18879042510639982,38.60573338399937,-0.024197114093388948,-0.03668107677124998,-0.1279122342417609
TEMP_R000359,359,2,38.8,38.79117699809723,38.78227848047716,0.008898517620061417,38.79117699809722,0.006389832300865041,0.005987725588308299,-0.0034790402691119225
TEMP_R000360,360,4,38.1,38.06743280277322,38.79926289983865,-0.7318300970654417,38.06743280277321,-0.17464833310595776,-0.1724355448505257,-0.38474621910895823
TEMP_R000361,361,4,38.3,38.27609220724379,38.79926289983865,-0.5231706925948646,38.276092207243785,-0.1222704747617361,-0.11616001157325441,-0.2847402062598741
TEMP_R000362,362,3,38.1,38.225866440989336,38.793984962448135,-0.5681185214587953,38.22586644098934,-0.15108449829103426,-0.15876412742490337,-0.25826989574285764
TEMP_R000363,363,2,38.1,38.06980713750978,38.78227848047716,-0.7124713429673895,38.06980713750977,-0.15889750505089897,-0.15490306924814107,-0.39867076866834933
TEMP_R000364,364,3,38.7,38.3294893755978,38.793984962448135,-0.46449558685033976,38.329489375597795,-0.1962408993880314,-0.2087997167608533,-0.05945497070145506
TEMP_R000365,365,3,38.2,38.78028804306823,38.793984962448135,-0.013696919379908266,38.780288043068225,0.03205644864338566,0.013701602678161133,-0.05945497070145506
TEMP_R000366,366,1,38.7,38.6468037194536,38.780562658734105,-0.1337589392805048,38.6468037194536,-0.02227446297071019,-0.03925715360903135,-0.07222732270076325
TEMP_R000367,367,2,39.0,38.99242978006878,38.78227848047716,0.21015129959161352,38.992429780068775,0.05361478582994143,0.05195652411300905,0.10457998964866304
TEMP_R000368,368,1,39.5,39.39803492485255,38.780562658734105,0.6174722661184403,39.398034924852546,0.11947512913604186,0.1511549659366863,0.34684217104571213
TEMP_R000369,369,5,38.0,37.97607708847266,38.79452380910577,-0.8184467206331213,37.97607708847265,-0.14367521481263976,-0.18955721157380498,-0.48521429424667656
TEMP_R000370,370,1,38.3,38.29605325079647,38.780562658734105,-0.48450940793763725,38.29605325079647,-0.08494230367845573,-0.1266403246837689,-0.2729267795754126
TEMP_R000371,371,2,38.2,38.163191370793385,38.78227848047716,-0.6190871096837791,38.16319137079338,-0.13528502828636077,-0.1319186699857907,-0.3518834114116276
TEMP_R000372,372,5,38.2,38.17774085906558,38.79452380910577,-0.6167829500401976,38.17774085906557,-0.11501691708068233,-0.14495201453381792,-0.35681401842569727
