RecordID,MeasurementUnitID,CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SequenceInCow,DataClass,Source,SourceWeight
MEAS_R000156,MEAS_UNIT_000156,C028,39.9,40.3,38.3,21.0,2,measured,S01,1.0
MEAS_R000157,MEAS_UNIT_000157,C028,38.4,40.1,38.5,20.0,2,measured,S01,1.0
MEAS_R000158,MEAS_UNIT_000158,C028,37.3,40.3,36.7,22.0,3,measured,S01,1.0
MEAS_R000159,MEAS_UNIT_000159,C028,36.8,40.1,36.2,17.0,1,measured,S01,1.0
MEAS_R000160,MEAS_UNIT_000160,C028,37.2,40.1,37.5,23.0,3,measured,S01,1.0
MEAS_R000161,MEAS_UNIT_000161,C028,38.6,40.2,37.3,0.0,1,measured,S01,1.0
MEAS_R000162,MEAS_UNIT_000162,C028,37.2,40.3,34.8,20.0,3,measured,S01,1.0
MEAS_R000163,MEAS_UNIT_000163,C028,35.4,40.3,33.2,1.0,1,measured,S01,1.0
MEAS_R000164,MEAS_UNIT_000164,C008,33.6,38.3,2.9,21.0,16,measured,S01,1.0
MEAS_R000165,MEAS_UNIT_000165,C008,31.2,38.2,4.6,14.0,11,measured,S01,1.0
MEAS_R000166,MEAS_UNIT_000166,C008,32.1,38.1,6.5,9.0,4,measured,S01,1.0
MEAS_R000167,MEAS_UNIT_000167,C008,33.2,38.1,8.4,11.0,8,measured,S01,1.0
MEAS_R000168,MEAS_UNIT_000168,C008,36.6,38.1,9.3,11.0,9,measured,S01,1.0
MEAS_R000169,MEAS_UNIT_000169,C008,33.3,38.1,5.5,11.0,10,measured,S01,1.0
MEAS_R000170,MEAS_UNIT_000170,C008,34.3,38.1,10.8,10.0,6,measured,S01,1.0
MEAS_R000171,MEAS_UNIT_000171,C008,35.5,38.2,11.3,16.0,13,measured,S01,1.0
MEAS_R000172,MEAS_UNIT_000172,C008,35.0,38.2,9.6,16.0,14,measured,S01,1.0
MEAS_R000173,MEAS_UNIT_000173,C008,34.4,38.2,7.5,17.0,15,measured,S01,1.0
MEAS_R000174,MEAS_UNIT_000174,C008,31.6,38.3,3.5,22.0,17,measured,S01,1.0
MEAS_R000175,MEAS_UNIT_000175,C008,33.6,38.2,7.9,1.0,1,measured,S01,1.0
MEAS_R000176,MEAS_UNIT_000176,C030,27.8,40.1,6.9,1.0,2,measured,S01,1.0
MEAS_R000177,MEAS_UNIT_000177,C030,30.0,40.2,2.5,14.0,12,measured,S01,1.0
MEAS_R000178,MEAS_UNIT_000178,C030,32.0,40.3,6.6,8.0,3,measured,S01,1.0
MEAS_R000179,MEAS_UNIT_000179,C030,30.6,40.3,4.3,9.0,4,measured,S01,1.0
MEAS_R000180,MEAS_UNIT_000180,C030,31.0,40.3,5.4,10.0,6,measured,S01,1.0
MEAS_R000181,MEAS_UNIT_000181,C030,30.4,40.3,10.5,10.0,7,measured,S01,1.0
MEAS_R000182,MEAS_UNIT_000182,C030,31.7,40.2,11.8,12.0,9,measured,S01,1.0
MEAS_R000183,MEAS_UNIT_000183,C030,34.2,40.2,8.3,16.0,13,measured,S01,1.0
MEAS_R000184,MEAS_UNIT_000184,C030,32.5,40.2,11.7,13.0,10,measured,S01,1.0
MEAS_R000185,MEAS_UNIT_000185,C030,32.8,40.2,8.5,18.0,14,measured,S01,1.0
MEAS_R000186,MEAS_UNIT_000186,C030,32.2,40.2,3.5,20.0,15,measured,S01,1.0
MEAS_R000187,MEAS_UNIT_000187,C030,32.2,40.2,7.9,21.0,16,measured,S01,1.0
MEAS_R000188,MEAS_UNIT_000188,C030,30.6,40.1,3.0,0.0,1,measured,S01,1.0
MEAS_R000189,MEAS_UNIT_000189,C030,27.8,40.2,6.9,21.0,17,measured,S01,1.0
MEAS_R000190,MEAS_UNIT_000190,C018,30.4,38.8,3.9,2.0,3,measured,S01,1.0
MEAS_R000191,MEAS_UNIT_000191,C018,32.3,38.8,6.6,9.0,5,measured,S01,1.0
