RecordID,CowKey,Source,RowID,SourceRowID,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour,SourceType,EarStatus,SourceWeight,MeasurementUnitID,AcquisitionSession,OuterFold_20260523,OuterFold_20260607,OuterFold_20260701,OuterFold_20260811,OuterFold_20260903,SeqInCowSource,CowSourceN,EarLag1_C,EarLag2_C,AmbientLag1_C,EarDelta1_C,AmbientDelta1_C,TimeSin,TimeCos,ThermalLoad,EarAirGap_C,HotFlag,NightFlag
MEAS_R000058,C001,S01,58,58,29.6,38.3,6.0,21.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000058,0,2,5,4,2,4,16,18,30.5,32.5,9.0,-0.8999999999999986,-3.0,-0.7071067811865477,0.7071067811865474,0.0,23.6,0,1
MEAS_R000059,C001,S01,59,59,30.6,38.1,5.4,22.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000059,0,2,5,5,4,2,17,18,29.6,30.5,6.0,1.0,-0.5999999999999996,-0.5000000000000004,0.8660254037844384,0.0,25.200000000000003,0,1
MEAS_R000060,C001,S01,60,60,30.5,38.1,5.5,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000060,0,4,2,3,4,5,18,18,30.6,29.6,5.4,-0.10000000000000142,0.09999999999999964,-0.25881904510252157,0.9659258262890681,0.0,25.0,0,1
MEAS_R000061,C027,S01,61,61,29.5,38.9,5.4,0.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000061,0,4,4,5,3,3,1,17,29.5,29.5,5.4,0.0,0.0,0.0,1.0,0.0,24.1,0,1
MEAS_R000062,C027,S01,62,62,30.9,41.5,6.1,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000062,0,2,2,2,2,5,5,17,32.3,31.6,3.4,-1.3999999999999986,2.6999999999999997,0.258819045102521,-0.9659258262890682,0.0,24.799999999999997,0,0
MEAS_R000063,C027,S01,63,63,31.5,38.7,5.0,11.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000063,0,3,5,5,1,1,6,17,30.9,32.3,6.1,0.6000000000000014,-1.0999999999999996,0.258819045102521,-0.9659258262890682,0.0,26.5,0,0
MEAS_R000064,C027,S01,64,64,31.9,38.5,6.9,12.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000064,0,5,2,4,1,1,7,17,31.5,30.9,5.0,0.3999999999999986,1.9000000000000004,1.2246467991473532e-16,-1.0,0.0,25.0,0,0
MEAS_R000065,C027,S01,65,65,31.1,38.6,8.0,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000065,0,4,2,1,4,4,9,17,30.1,31.9,7.7,1.0,0.2999999999999998,-0.2588190451025208,-0.9659258262890683,0.0,23.1,0,0
MEAS_R000066,C027,S01,66,66,32.8,38.5,9.3,13.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000066,0,3,1,4,1,5,10,17,31.1,30.1,8.0,1.6999999999999957,1.3000000000000007,-0.2588190451025208,-0.9659258262890683,0.0,23.499999999999996,0,0
MEAS_R000067,C027,S01,67,67,33.8,38.6,8.8,14.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000067,0,2,4,3,5,1,12,17,30.5,32.8,6.1,3.299999999999997,2.700000000000001,-0.4999999999999997,-0.8660254037844388,0.0,24.999999999999996,0,0
MEAS_R000068,C027,S01,68,68,30.7,38.5,11.2,15.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000068,0,4,3,1,2,2,13,17,33.8,30.5,8.8,-3.099999999999998,2.3999999999999986,-0.7071067811865471,-0.7071067811865479,0.0,19.5,0,0
MEAS_R000069,C027,S01,69,69,33.9,38.5,9.1,15.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000069,0,2,3,2,5,2,14,17,30.7,33.8,11.2,3.1999999999999993,-2.0999999999999996,-0.7071067811865471,-0.7071067811865479,0.0,24.799999999999997,0,0
MEAS_R000070,C027,S01,70,70,32.3,39.1,9.0,19.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000070,0,2,1,3,2,3,15,17,33.9,30.7,9.1,-1.6000000000000014,-0.09999999999999964,-0.9659258262890684,0.2588190451025203,0.0,23.299999999999997,0,0
MEAS_R000071,C027,S01,71,71,32.5,39.1,6.0,21.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000071,0,5,5,1,4,4,16,17,32.3,33.9,9.0,0.20000000000000284,-3.0,-0.7071067811865477,0.7071067811865474,0.0,26.5,0,1
MEAS_R000072,C027,S01,72,72,32.7,38.2,5.5,23.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000072,0,1,1,2,3,2,17,17,32.5,32.3,6.0,0.20000000000000284,-0.5,-0.25881904510252157,0.9659258262890681,0.0,27.200000000000003,0,1
MEAS_R000073,C026,S01,73,73,28.6,38.3,5.4,0.0,measurement_group_1,measurement_status_1,1.0,MEAS_UNIT_000073,0,1,1,5,1,3,1,17,28.6,28.6,5.4,0.0,0.0,0.0,1.0,0.0,23.200000000000003,0,1
