CowKey,EarTemperature_C,CoreReferenceTemperature_C,AmbientTemperature_C,MeasurementTime_hour
C015,35.0,38.8,31.4,22.0
C015,33.8,39.1,29.5,23.0
C007,35.7,40.1,29.0,1.0
C007,36.5,38.4,32.1,12.0
C007,37.4,39.8,32.8,12.0
C007,36.5,38.5,31.7,13.0
C007,37.4,40.0,33.3,13.0
C007,37.1,39.3,33.5,14.0
C007,39.2,39.9,37.2,14.0
C007,38.3,39.7,35.7,15.0
C007,38.9,39.7,35.9,15.0
C007,37.6,39.5,33.4,18.0
C007,37.6,39.7,34.2,19.0
C007,36.9,39.6,33.8,20.0
C007,36.9,39.3,32.4,21.0
C007,37.7,40.7,33.1,21.0
C007,35.0,39.2,28.7,22.0
C007,35.2,39.4,30.1,22.0
C007,37.2,40.6,31.8,22.0
C007,34.9,38.3,27.6,23.0
C007,34.6,40.2,27.1,24.0
C013,29.3,39.3,20.6,1.0
C013,34.7,38.7,30.0,12.0
C013,35.2,38.6,30.9,13.0
C013,34.8,38.6,30.3,19.0
C013,35.8,39.3,32.1,19.0
C013,34.5,39.2,29.7,21.0
C013,34.8,38.5,29.8,21.0
C013,33.8,39.1,27.6,22.0
C013,33.0,39.1,25.7,23.0
C013,32.9,39.0,25.3,24.0
C024,36.1,38.0,34.0,12.0
C024,36.0,38.0,33.2,13.0
C024,36.9,38.6,34.5,13.0
C024,36.0,38.3,33.0,14.0
C024,37.1,38.3,35.1,14.0
C024,37.7,38.2,36.2,15.0
C024,38.2,38.4,37.2,15.0
C024,37.7,38.7,35.7,19.0
C024,36.7,38.2,33.9,20.0
C024,37.9,38.9,35.1,20.0
C024,35.4,40.4,31.9,21.0
C024,36.5,38.4,33.6,21.0
C024,38.1,39.2,35.1,21.0
C024,35.9,41.2,32.3,22.0
C024,36.3,38.5,33.3,22.0
C024,35.2,40.5,30.6,23.0
C024,34.0,40.2,28.8,24.0
C001,31.9,38.2,7.2,12.0
C001,30.7,38.3,11.2,16.0
C001,32.5,38.3,12.3,17.0
C001,35.3,38.2,14.4,14.0
C002,36.7,39.0,5.2,15.0
C002,34.2,39.0,4.8,12.0
C002,33.4,39.0,11.7,12.0
C002,34.8,39.0,8.0,13.0
C003,32.8,38.5,6.0,15.0
C003,34.1,38.6,10.9,11.0
