Actual,Predicted,Method,Residual,AbsoluteError
38.9,39.21143250525115,Full TH-SHRC,-0.3114325052511546,0.3114325052511546
38.5,38.717103818237625,Full TH-SHRC,-0.21710381823762503,0.21710381823762503
39.2,39.31882030234473,Full TH-SHRC,-0.11882030234473007,0.11882030234473007
39.7,39.28409649597717,Full TH-SHRC,0.41590350402283605,0.41590350402283605
39.8,39.63202996753157,Full TH-SHRC,0.1679700324684248,0.1679700324684248
38.5,39.10695562053033,Full TH-SHRC,-0.6069556205303286,0.6069556205303286
40.0,39.60406554014168,Full TH-SHRC,0.3959344598583172,0.3959344598583172
39.7,39.72819555764762,Full TH-SHRC,-0.02819555764761361,0.02819555764761361
38.6,38.810597039353055,Full TH-SHRC,-0.21059703935305407,0.21059703935305407
38.6,38.751429784170256,Full TH-SHRC,-0.15142978417025432,0.15142978417025432
38.0,38.36888286299591,Full TH-SHRC,-0.36888286299591044,0.36888286299591044
38.2,38.70404820797651,Full TH-SHRC,-0.5040482079765098,0.5040482079765098
40.4,40.42292070340574,Full TH-SHRC,-0.022920703405738152,0.022920703405738152
39.2,38.910784802226864,Full TH-SHRC,0.28921519777313875,0.28921519777313875
38.1,38.32399629916014,Full TH-SHRC,-0.22399629916014163,0.22399629916014163
38.3,38.39323599312763,Full TH-SHRC,-0.0932359931276352,0.0932359931276352
38.5,38.47061350896372,Full TH-SHRC,0.029386491036277107,0.029386491036277107
38.4,38.380270879474686,Full TH-SHRC,0.019729120525312283,0.019729120525312283
38.3,38.28565487779542,Full TH-SHRC,0.014345122204574068,0.014345122204574068
38.5,38.489354126558105,Full TH-SHRC,0.010645873441895048,0.010645873441895048
38.0,38.035493782269306,Full TH-SHRC,-0.035493782269305996,0.035493782269305996
39.5,39.49293148460538,Full TH-SHRC,0.0070685153946215,0.0070685153946215
38.8,38.80807507989739,Full TH-SHRC,-0.008075079897395199,0.008075079897395199
39.0,39.006617971831126,Full TH-SHRC,-0.006617971831126113,0.006617971831126113
38.9,38.916542595202735,Full TH-SHRC,-0.016542595202736265,0.016542595202736265
39.6,39.61331994228588,Full TH-SHRC,-0.013319942285875186,0.013319942285875186
38.2,38.15254521374324,Full TH-SHRC,0.04745478625676469,0.04745478625676469
38.1,38.0850840110562,Full TH-SHRC,0.014915988943798197,0.014915988943798197
38.5,38.44615726963205,Full TH-SHRC,0.053842730367946956,0.053842730367946956
38.5,38.48758685648994,Full TH-SHRC,0.012413143510059399,0.012413143510059399
38.4,38.409073890788775,Full TH-SHRC,-0.00907389078877685,0.00907389078877685
38.0,37.96924539770938,Full TH-SHRC,0.03075460229062088,0.03075460229062088
39.2,39.11066898459735,Full TH-SHRC,0.08933101540264943,0.08933101540264943
38.3,38.25576654783526,Full TH-SHRC,0.04423345216473962,0.04423345216473962
38.4,38.34882160396224,Full TH-SHRC,0.05117839603775565,0.05117839603775565
38.2,38.17120920591493,Full TH-SHRC,0.028790794085075788,0.028790794085075788
38.1,38.23489120117129,Full TH-SHRC,-0.1348912011712855,0.1348912011712855
41.5,41.28775666605784,Full TH-SHRC,0.21224333394216188,0.21224333394216188
38.7,38.72185485682131,Full TH-SHRC,-0.021854856821306612,0.021854856821306612
38.6,38.60561362739392,Full TH-SHRC,-0.00561362739392024,0.00561362739392024
38.5,38.48048642736706,Full TH-SHRC,0.019513572632938292,0.019513572632938292
38.2,38.23951897644604,Full TH-SHRC,-0.039518976446039744,0.039518976446039744
38.5,38.49040272814115,Full TH-SHRC,0.009597271858851286,0.009597271858851286
39.1,39.07705364281523,Full TH-SHRC,0.02294635718477167,0.02294635718477167
38.6,38.6025312505621,Full TH-SHRC,-0.00253125056210024,0.00253125056210024
38.9,38.8560919623217,Full TH-SHRC,0.04390803767829965,0.04390803767829965
38.0,38.0186604871702,Full TH-SHRC,-0.018660487170201634,0.018660487170201634
38.3,38.29398144525168,Full TH-SHRC,0.0060185547483158075,0.0060185547483158075
39.4,39.21600276570384,Full TH-SHRC,0.18399723429615733,0.18399723429615733
38.1,38.07056142897882,Full TH-SHRC,0.029438571021181303,0.029438571021181303
38.1,38.10437872230685,Full TH-SHRC,-0.004378722306846328,0.004378722306846328
39.0,38.90325548957416,Full TH-SHRC,0.09674451042584309,0.09674451042584309
39.5,39.37754476499315,Full TH-SHRC,0.12245523500685351,0.12245523500685351
38.2,38.16507043034051,Full TH-SHRC,0.034929569659489346,0.034929569659489346
